epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,775.374,1.20874,1.34545,0.00401,0.66727,0.59102,0.6545,0.48741,1.20379,0.84505,0.00579,0.00999529,0.00333176,0.00999529,0.00333176,0.00999529,0.00333176,0.00999529,0.00333176
2,1446.1,1.08356,0.6207,0.00349,0.69465,0.65353,0.69018,0.51594,1.18232,0.88073,0.00574,0.0186756,0.0062252,0.0186756,0.0062252,0.0186756,0.0062252,0.0186756,0.0062252
3,2075.44,1.06202,0.55218,0.00343,0.68309,0.62845,0.66149,0.49013,1.17984,0.8643,0.0057,0.0260359,0.00867864,0.0260359,0.00867864,0.0260359,0.00867864,0.0260359,0.00867864
4,2703.68,1.0411,0.51777,0.00336,0.71996,0.6597,0.70525,0.53052,1.17606,0.80906,0.00573,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
5,3334.75,1.00404,0.48273,0.00321,0.74872,0.6619,0.7183,0.53738,1.15536,0.79864,0.00556,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
6,3926.16,0.90367,0.40135,0.00322,0.76157,0.64308,0.72307,0.54221,1.17307,0.77259,0.00566,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
7,4480.57,0.87751,0.37832,0.00309,0.73674,0.64365,0.70384,0.5346,1.15948,0.84622,0.00559,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
8,5013.8,0.85968,0.3606,0.003,0.75819,0.62019,0.69308,0.52648,1.17764,0.85345,0.00571,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
9,5542.61,0.8411,0.34806,0.00292,0.75446,0.63602,0.70048,0.53308,1.17622,0.90782,0.00567,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
10,6074.72,0.82266,0.33507,0.00284,0.772,0.63527,0.70012,0.53154,1.17721,0.88777,0.00567,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
11,6609.68,0.80559,0.32377,0.00276,0.75139,0.63046,0.68557,0.52431,1.18476,0.91505,0.00574,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
