epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,864.754,0.69904,0.61213,0.00244,0.64008,0.50546,0.53847,0.41331,1.2187,1.32951,0.00749,0.00999549,0.00333183,0.00999549,0.00333183,0.00999549,0.00333183,0.00999549,0.00333183
2,1698.09,0.69438,0.29118,0.00238,0.67531,0.51687,0.54915,0.42049,1.20303,1.34177,0.00732,0.0186758,0.00622526,0.0186758,0.00622526,0.0186758,0.00622526,0.0186758,0.00622526
3,2513.9,0.69631,0.28877,0.00239,0.66122,0.51629,0.54941,0.41445,1.21151,1.33486,0.00737,0.0260361,0.00867869,0.0260361,0.00867869,0.0260361,0.00867869,0.0260361,0.00867869
4,3317.99,0.70206,0.29261,0.0024,0.66783,0.51384,0.54845,0.41417,1.20862,1.30631,0.00728,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
5,4123.63,0.70561,0.2928,0.00241,0.67474,0.51569,0.54894,0.41261,1.20027,1.31051,0.00724,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
6,4893.52,0.65658,0.25667,0.00255,0.67881,0.52423,0.5551,0.41881,1.18013,1.32591,0.00719,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
7,5635.82,0.65168,0.25197,0.0025,0.69003,0.51932,0.56023,0.42459,1.18386,1.33116,0.00707,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
8,6365.14,0.64742,0.24878,0.00248,0.69028,0.52643,0.56854,0.4298,1.17589,1.30257,0.00706,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
9,7091.41,0.64245,0.24417,0.00246,0.7072,0.51605,0.564,0.42613,1.18474,1.34054,0.00706,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
10,7816.51,0.64008,0.2429,0.00244,0.71021,0.51228,0.55926,0.42333,1.18288,1.34206,0.00705,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
11,8545.27,0.63382,0.24004,0.00241,0.7086,0.51264,0.55889,0.42288,1.18206,1.32714,0.00704,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
12,9270.07,0.62869,0.23554,0.00239,0.71685,0.51781,0.56135,0.42374,1.18,1.33259,0.00704,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
13,9990.36,0.62453,0.23266,0.00236,0.72107,0.51677,0.55949,0.42193,1.18057,1.33622,0.00703,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
